Type of access,API,file path,Team owner
AsCurrentUser,search,search,x-pack/platform/plugins/shared/fleet/server/services/agent_policies/agent_policies_to_agent_ids.ts,elastic/fleet
AsCurrentUser,search,search,x-pack/platform/plugins/shared/fleet/server/services/agents/crud.ts,elastic/fleet
AsCurrentUser,search,search,x-pack/platform/plugins/shared/fleet/server/services/agents/actions.ts,elastic/fleet
AsInternal,search,search,x-pack/platform/plugins/shared/fleet/server/integration_tests/cloud_preconfiguration.test.ts,elastic/fleet
AsInternal,search,search,x-pack/platform/plugins/shared/fleet/server/integration_tests/fleet_setup.test.ts,elastic/fleet
AsInternal,search,search,x-pack/platform/plugins/shared/fleet/server/integration_tests/reset_preconfiguration.test.ts,elastic/fleet
AsInternal,search,search,x-pack/platform/plugins/shared/fleet/server/routes/package_policy/handlers.test.ts,elastic/fleet
AsCurrentUser,search,search,x-pack/platform/plugins/private/graph/server/routes/search.ts,elastic/kibana-visualizations
AsCurrentUser,search,search,src/platform/plugins/shared/home/server/services/sample_data/usage/collector_fetch.ts,elastic/appex-sharedux
AsCurrentUser,search,search,src/platform/plugins/shared/home/server/routes/fetch_es_hits_status.ts,elastic/appex-sharedux
AsCurrentUser,search,search,src/platform/plugins/shared/home/server/services/sample_data/usage/collector_fetch.test.ts,elastic/appex-sharedux
AsCurrentUser,count,count,src/platform/plugins/shared/home/server/services/sample_data/routes/list.ts,elastic/appex-sharedux
AsCurrentUser,search,search,x-pack/platform/plugins/shared/index_management/server/routes/api/enrich_policies/helpers.ts,elastic/kibana-management
AsCurrentUser,fieldCaps,fieldCaps,x-pack/platform/plugins/shared/index_management/server/routes/api/enrich_policies/register_create_route.ts,elastic/kibana-management
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/infra/server/lib/adapters/framework/kibana_framework_adapter.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/infra/server/lib/alerting/log_threshold/log_threshold_executor.ts,elastic/obs-ux-management-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/infra/server/lib/log_analysis/log_entry_categories_analysis.ts,elastic/obs-ux-logs-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/infra/server/lib/alerting/metric_threshold/lib/get_data.ts,elastic/obs-ux-management-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/infra/server/lib/alerting/inventory_metric_threshold/lib/get_data.ts,elastic/obs-ux-management-team
AsCurrentUser,msearch,msearch,x-pack/solutions/observability/plugins/infra/server/lib/adapters/framework/kibana_framework_adapter.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,msearch,msearch,x-pack/solutions/observability/plugins/infra/server/lib/alerting/metric_threshold/lib/check_missing_group.ts,elastic/obs-ux-management-team
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/observability/plugins/infra/server/lib/alerting/common/utils.ts,elastic/obs-ux-management-team
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/observability/plugins/infra/server/routes/log_analysis/validation/indices.ts,elastic/obs-ux-logs-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/inventory/server/lib/create_es_client/create_entities_es_client.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/utils/get_search_after_scroll.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/items/get_list_item_by_values.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/lists/get_list.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/lists/find_list.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/items/find_all_list_items.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/items/find_list_item.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/items/get_list_item.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/solutions/security/plugins/lists/server/services/items/write_list_items_to_stream.ts,elastic/security-detection-engine
AsCurrentUser,count,count,x-pack/solutions/security/plugins/lists/server/services/lists/find_list.ts,elastic/security-detection-engine
AsCurrentUser,count,count,x-pack/solutions/security/plugins/lists/server/services/items/find_all_list_items.ts,elastic/security-detection-engine
AsCurrentUser,count,count,x-pack/solutions/security/plugins/lists/server/services/items/find_list_item.test.ts,elastic/security-detection-engine
AsCurrentUser,search,search,x-pack/platform/plugins/shared/logs_data_access/server/services/get_logs_rate_timeseries/get_logs_rate_timeseries.ts,elastic/obs-ux-logs-team
AsCurrentUser,search,search,x-pack/platform/plugins/shared/logs_data_access/server/services/get_logs_error_rate_timeseries/get_logs_error_rate_timeseries.ts,elastic/obs-ux-logs-team
AsCurrentUser,search,search,x-pack/platform/plugins/shared/logs_data_access/server/services/get_logs_rates_service/index.ts,elastic/obs-ux-logs-team
AsCurrentUser,search,search,x-pack/platform/plugins/shared/logs_shared/server/lib/adapters/framework/kibana_framework_adapter.ts,elastic/obs-ux-logs-team
